anonymised_data_centre_name,mean,peak,n
Data Centre #67,1.2553392500728096,1.682716898352186,57694
Data Centre #68,0.6757876044120646,0.7836000000000001,57646
Data Centre #59,0.6569779274253663,1.3223618279313394,57454
Data Centre #78,0.5534410410089166,0.6572499999999999,57646
Data Centre #35,0.5524195200997851,0.7550180119705755,57550
Data Centre #51,0.525558415270264,0.7332336660093518,57598
Data Centre #76,0.46623258295625103,0.5706067140865632,57646
Data Centre #61,0.45650051779794876,0.5258666666666666,57550
Data Centre #25,0.425559364139326,0.5748300568960458,57598
Data Centre #74,0.40409266181606057,0.5741926157658247,57598
Data Centre #81,0.40208255742637616,0.5327213155112154,57550
Data Centre #21,0.3977694563359869,0.5026861645201706,57598
Data Centre #52,0.3796925957403043,0.5966004320779156,57598
Data Centre #17,0.373506237525836,0.6507486789268189,57742
Data Centre #11,0.37249559277303096,0.6545614131962144,57694
Data Centre #10,0.3711679978437394,0.4275727526111904,57550
Data Centre #34,0.36708953311799647,0.4644437774370543,57646
Data Centre #87,0.36630763918006914,0.6957142857142857,57598
Data Centre #7,0.3578736339515265,0.7329483832440045,57310
Data Centre #12,0.3558895066063139,0.5445057153051748,57694
Data Centre #13,0.3365222951258459,1.8196754435887736,57694
Data Centre #64,0.3340350686380945,0.5233165966745462,57454
Data Centre #47,0.33204331468721937,0.65952,57694
Data Centre #77,0.3320122391038028,0.6807140042305252,57646
Data Centre #15,0.31116868659644703,0.5733874141765855,57646
Data Centre #71,0.29244631740274013,0.4073843394142686,57646
Data Centre #57,0.29099949700522443,0.5193934448326021,57310
Data Centre #48,0.2854421626176369,0.54688,57694
Data Centre #62,0.2820869314102469,0.3776938207360854,57598
Data Centre #39,0.2627370410011427,0.3895037463270125,57694
Data Centre #38,0.2626602466379042,0.3974310546497341,57742
Data Centre #46,0.24760250927273053,0.3182727171782086,57694
Data Centre #3,0.24509023579096717,0.4052233333333334,57646
Data Centre #69,0.24330937338750577,0.3220931542271583,57550
Data Centre #37,0.24228441443851031,1.0204221753764469,52608
Data Centre #4,0.22747151585552894,0.3464283533751564,57694
Data Centre #20,0.2255844301162146,0.2683023038477307,57646
Data Centre #89,0.22290134835889766,0.8966666666666666,57502
Data Centre #23,0.22278805143989416,0.7097843087868314,57598
Data Centre #58,0.21909766006998893,0.4932653014315642,57694
Data Centre #5,0.21265137107881016,0.2575598317759282,57646
Data Centre #36,0.21174632429554008,0.3024669238115136,57550
Data Centre #54,0.20664423540945145,0.3203911845090484,57646
Data Centre #22,0.20319210055248574,0.4869461552625711,57550
Data Centre #70,0.19743393131790374,0.4513693387903081,57598
Data Centre #16,0.19261001700451316,0.2395260972211587,57550
Data Centre #18,0.18704751577979004,0.3739113606524947,57646
Data Centre #29,0.18653073599474032,0.5102817740120539,57694
Data Centre #30,0.18070610245586383,0.5041380168168237,57742
Data Centre #82,0.17863044583313795,0.4991334713503215,56302
Data Centre #40,0.17549558655768166,0.2043348049158537,57694
Data Centre #95,0.16922691821801972,0.8939393939393939,57646
Data Centre #83,0.16759943679909203,0.2589282526106412,57598
Data Centre #86,0.16509004621758827,0.2574666240505747,57550
Data Centre #28,0.14875149176703498,0.3567514431957105,57742
Data Centre #19,0.14509304406087073,0.3738753970241957,57694
Data Centre #80,0.12461099230992069,0.404,57646
Data Centre #50,0.12444595374774042,0.1778873938702773,57646
Data Centre #49,0.12090398880022038,0.180862703593141,57646
Data Centre #27,0.11332849729699226,0.2824836626160359,57310
Data Centre #88,0.11312232024380799,0.3979084898082956,45022
Data Centre #60,0.09958093884284841,0.204002221188888,57694
Data Centre #72,0.09737919309185737,0.1828,53136
Data Centre #84,0.08571140587443232,0.1755555555555555,57598
Data Centre #45,0.08493022129530428,0.8425243690837672,57646
Data Centre #2,0.08210017579756185,0.1605555555555555,57598
Data Centre #92,0.08154515491100855,0.134,57646
Data Centre #26,0.0806403236272999,0.5291351351351351,57646
Data Centre #94,0.08024113360889175,0.3,25726
Data Centre #56,0.07365197435931152,0.5684711035361038,51456
Data Centre #66,0.07075729614433934,0.1739049868302931,57694
Data Centre #6,0.06911122280973313,0.2458475706686956,57550
Data Centre #85,0.06760063978044177,0.1374900367447824,57598
Data Centre #14,0.06323512651081378,0.4939394375831919,57694
Data Centre #73,0.05731910901313574,0.5481833634834242,57550
Data Centre #41,0.0515532517049718,0.9666534539326904,57646
Data Centre #53,0.045579071814768224,0.2241975418638165,57646
Data Centre #63,0.0438434138847732,0.1072573634387603,57646
Data Centre #79,0.04039143334671732,0.07875,57646
Data Centre #93,0.03887976567711351,3.9919851802095088,33312
Data Centre #8,0.038356479417676455,0.3996101474587451,57550
Data Centre #1,0.03465316910307482,0.2158028367659934,57598
Data Centre #44,0.019112083390348596,0.964803768908476,57646
Data Centre #32,0.01873563123384319,0.6102882269878717,57406
Data Centre #33,0.01359688071759006,0.3222853121071452,57694
Data Centre #31,0.012300746187548745,0.0472142857142857,54142
Data Centre #90,0.010982396485721583,0.1260984791592705,19826
Data Centre #43,0.00769371796888341,0.2749172329993156,57646
Data Centre #42,0.007585743957558219,0.2696479603112177,57646
Data Centre #96,0.004596948257139302,1.4771600578634974,57454
Data Centre #55,0.0024802322823387606,0.0168824695402591,56638
Data Centre #9,0.0009938946060814187,0.0034689110683325,57646
Data Centre #75,0.0,0.0,57646
Data Centre #65,0.0,0.0,57694
Data Centre #91,0.0,0.0,44782
Data Centre #24,0.0,0.0,57694
